make,model,complaints_distinct_odino
FOREST RIVER,FLAGSTAFF,7
BMW,850I,7
VOLKSWAGEN,GOLF R,6
VOLKSWAGEN,E-GOLF,6
TOYOTA,HIGHLANDER HYBRID,6
RAM,4500,6
NISSAN,NV,6
MINI,CLUBMAN,6
MERCEDES-BENZ,AMG GLC43,6
MERCEDES-BENZ,AMG E53,6
MERCEDES-BENZ,AMG CLS53,6
MERCEDES-BENZ,AMG C43,6
MAZDA,MAZDA6,6
JAGUAR,XE,6
JAGUAR,E-PACE,6
HYUNDAI,IONIQ ELECTRIC,6
HONDA,CIVIC TYPE R,6
HEARTLAND,MALLARD,6
GRAND DESIGN,IMAGINE,6
GENESIS,G90,6
FOREST RIVER,BERKSHIRE,6
DUCATI,MULTISTRADA,6
CHEVROLET,5500HD,6
CAN-AM,SPYDER RT,6
BUICK,LACROSSE,6
AUDI,S5,6
RAM,PROMASTER CITY,5
NEWMAR,LONDON AIRE,5
MITSUBISHI,MIRAGE,5
MINI,COOPER S,5
MERCEDES-BENZ,S560,5
MERCEDES-BENZ,GLC 350,5
MERCEDES-BENZ,G 550,5
MASERATI,LEVANTE,5
LEXUS,ES350,5
LANCE CAMPER,LANCE CAMPER,5
KIA,CADENZA,5
HYUNDAI,SONATA PLUG-IN HYBRID,5
HARLEY-DAVIDSON,FLHCS,5
GRAND DESIGN,SOLITUDE,5
GMC,SAVANA,5
FOREST RIVER,WILDWOOD,5
FOREST RIVER,VIBE,5
FOREST RIVER,SALEM,5
FOREST RIVER,PUMA,5
FORD,E-450,5
ENTEGRA,ASPIRE,5
DYNAMAX,ISATA,5
CAN-AM,SPYDER F3,5
CADILLAC,XTS,5
BUICK,CASCADA,5
BMW,Z4,5
BMW,X6,5
AUDI,RS 3,5
WINNEBAGO,VIEW,4
VOLVO,VNL,4
TOYOTA,MIRAI,4
TIFFIN,PHAETON,4
POLARIS,SLINGSHOT,4
NEWMAR,NEW AIRE,4
NEWMAR,MOUNTAIN AIRE,4
MERCEDES-BENZ,SPRINTER (VS30),4
MERCEDES-BENZ,S 560 E,4
MERCEDES-BENZ,GLS450,4
JAYCO,PRECEPT,4
JAYCO TRAVEL TRAILER,WHITE HAWK,4
JAYCO FIFTH WHEEL,EAGLE,4
INFINITI,Q60,4
HYUNDAI,SONATA HYBRID,4
HEARTLAND,TRAIL RUNNER,4
